"Data","Último","Abertura","Máxima","Mínima","Var%"
"31.12.2021","5,5714","5,5714","5,5714","5,5714","0,01%"
"30.12.2021","5,5710","5,6957","5,7039","5,5469","-2,32%"
"29.12.2021","5,7032","5,6356","5,7105","5,6235","1,33%"
"28.12.2021","5,6283","5,6262","5,6627","5,6195","0,06%"
"27.12.2021","5,6249","5,6701","5,7067","5,6236","-0,89%"
"24.12.2021","5,6753","5,6753","5,6753","5,6753","0,01%"
"23.12.2021","5,6749","5,6554","5,7193","5,6259","0,37%"
"22.12.2021","5,6540","5,7425","5,7442","5,6470","-1,59%"
"21.12.2021","5,7451","5,7417","5,7579","5,7112","0,05%"
"20.12.2021","5,7425","5,7141","5,7457","5,6899","0,81%"
"17.12.2021","5,6961","5,6887","5,7167","5,6610","0,14%"
"16.12.2021","5,6884","5,6693","5,7256","5,6589","0,14%"
"15.12.2021","5,6806","5,6873","5,7364","5,6574","-0,02%"
"14.12.2021","5,6815","5,6681","5,6986","5,6179","0,02%"
"13.12.2021","5,6804","5,6105","5,6813","5,6012","1,21%"
"10.12.2021","5,6127","5,5599","5,6358","5,5580","0,72%"
"09.12.2021","5,5727","5,5374","5,5999","5,5175","0,72%"
"08.12.2021","5,5327","5,6027","5,6364","5,5256","-1,43%"
"07.12.2021","5,6128","5,6890","5,6890","5,6085","-1,34%"
"06.12.2021","5,6891","5,6532","5,7029","5,6350","0,64%"
"03.12.2021","5,6532","5,6514","5,6864","5,6006","0,12%"
"02.12.2021","5,6462","5,6632","5,6790","5,6139","-0,87%"
"01.12.2021","5,6955","5,6243","5,6959","5,5770","1,27%"
